wave,survey_date,period,kon_code_raw,alder_code_raw,party_code_raw,party_raw,party,party_type,estimate_pct,margin_error_pp,value_status,source_table
2017M11,2017-11-01,2017-11,TOT,tot18+,kd,KD,KD,parliamentary_party,3.0,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2017M11,2017-11-01,2017-11,TOT,tot18+,l,L,L,parliamentary_party,4.9,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2017M11,2017-11-01,2017-11,TOT,tot18+,m,M,M,parliamentary_party,22.1,1.1,observed,ME/ME0201/ME0201B/Partisympati051
2017M11,2017-11-01,2017-11,TOT,tot18+,mp,MP,MP,parliamentary_party,4.0,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2017M11,2017-11-01,2017-11,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2017M11,2017-11-01,2017-11,TOT,tot18+,s,S,S,parliamentary_party,33.1,1.2,observed,ME/ME0201/ME0201B/Partisympati051
2017M11,2017-11-01,2017-11,TOT,tot18+,v,V,V,parliamentary_party,7.0,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2017M11,2017-11-01,2017-11,TOT,tot18+,övr,övriga,OTHER,other_party,3.0,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2018M05,2018-05-01,2018-05,TOT,tot18+,SD,SD,SD,parliamentary_party,17.3,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2018M05,2018-05-01,2018-05,TOT,tot18+,c,C,C,parliamentary_party,8.7,0.8,observed,ME/ME0201/ME0201B/Partisympati051
2018M05,2018-05-01,2018-05,TOT,tot18+,kd,KD,KD,parliamentary_party,3.0,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2018M05,2018-05-01,2018-05,TOT,tot18+,l,L,L,parliamentary_party,4.6,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2018M05,2018-05-01,2018-05,TOT,tot18+,m,M,M,parliamentary_party,22.3,1.1,observed,ME/ME0201/ME0201B/Partisympati051
2018M05,2018-05-01,2018-05,TOT,tot18+,mp,MP,MP,parliamentary_party,4.6,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2018M05,2018-05-01,2018-05,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2018M05,2018-05-01,2018-05,TOT,tot18+,s,S,S,parliamentary_party,29.1,1.2,observed,ME/ME0201/ME0201B/Partisympati051
2018M05,2018-05-01,2018-05,TOT,tot18+,v,V,V,parliamentary_party,7.5,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2018M05,2018-05-01,2018-05,TOT,tot18+,övr,övriga,OTHER,other_party,2.8,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2018M11,2018-11-01,2018-11,TOT,tot18+,SD,SD,SD,parliamentary_party,16.0,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2018M11,2018-11-01,2018-11,TOT,tot18+,c,C,C,parliamentary_party,8.5,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2018M11,2018-11-01,2018-11,TOT,tot18+,kd,KD,KD,parliamentary_party,5.1,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2018M11,2018-11-01,2018-11,TOT,tot18+,l,L,L,parliamentary_party,4.7,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2018M11,2018-11-01,2018-11,TOT,tot18+,m,M,M,parliamentary_party,20.6,0.9,observed,ME/ME0201/ME0201B/Partisympati051
2018M11,2018-11-01,2018-11,TOT,tot18+,mp,MP,MP,parliamentary_party,4.6,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2018M11,2018-11-01,2018-11,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2018M11,2018-11-01,2018-11,TOT,tot18+,s,S,S,parliamentary_party,30.0,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2018M11,2018-11-01,2018-11,TOT,tot18+,v,V,V,parliamentary_party,8.6,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2018M11,2018-11-01,2018-11,TOT,tot18+,övr,övriga,OTHER,other_party,1.9,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2019M05,2019-05-01,2019-05,TOT,tot18+,SD,SD,SD,parliamentary_party,16.0,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2019M05,2019-05-01,2019-05,TOT,tot18+,c,C,C,parliamentary_party,7.3,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2019M05,2019-05-01,2019-05,TOT,tot18+,kd,KD,KD,parliamentary_party,10.5,0.8,observed,ME/ME0201/ME0201B/Partisympati051
2019M05,2019-05-01,2019-05,TOT,tot18+,l,L,L,parliamentary_party,4.3,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2019M05,2019-05-01,2019-05,TOT,tot18+,m,M,M,parliamentary_party,17.6,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2019M05,2019-05-01,2019-05,TOT,tot18+,mp,MP,MP,parliamentary_party,5.4,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2019M05,2019-05-01,2019-05,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2019M05,2019-05-01,2019-05,TOT,tot18+,s,S,S,parliamentary_party,28.5,1.1,observed,ME/ME0201/ME0201B/Partisympati051
2019M05,2019-05-01,2019-05,TOT,tot18+,v,V,V,parliamentary_party,8.4,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2019M05,2019-05-01,2019-05,TOT,tot18+,övr,övriga,OTHER,other_party,1.9,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2019M11,2019-11-01,2019-11,TOT,tot18+,SD,SD,SD,parliamentary_party,20.7,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2019M11,2019-11-01,2019-11,TOT,tot18+,c,C,C,parliamentary_party,7.3,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2019M11,2019-11-01,2019-11,TOT,tot18+,kd,KD,KD,parliamentary_party,6.5,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2019M11,2019-11-01,2019-11,TOT,tot18+,l,L,L,parliamentary_party,4.2,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2019M11,2019-11-01,2019-11,TOT,tot18+,m,M,M,parliamentary_party,18.8,1.0,observed,ME/ME0201/ME0201B/Partisympati051
