origin,party,bitwise_identical,crps_campaign_paths,crps_dynamics_v2
2025-05-13,L,True,0.058323598266039944,0.058323598266039944
2025-05-13,C,True,0.11967327845060241,0.11967327845060241
2025-05-13,KD,True,0.2941416562876161,0.2941416562876161
2025-05-13,S,True,0.1634877565671588,0.1634877565671588
2025-05-13,V,True,0.07027049416005346,0.07027049416005346
2025-05-13,MP,True,0.11838845890847885,0.11838845890847885
2025-05-13,SD,True,0.1385396037229381,0.1385396037229381
2025-05-27,M,True,0.12870115704582435,0.12870115704582435
2025-05-27,L,True,0.059237732384890274,0.059237732384890274
2025-05-27,C,True,0.07001230541464754,0.07001230541464754
2025-05-27,KD,True,0.06551615372308017,0.06551615372308017
2025-05-27,S,True,0.1626919985572024,0.1626919985572024
2025-05-27,V,True,0.06938252821774576,0.06938252821774576
2025-05-27,MP,True,0.07839353660883763,0.07839353660883763
2025-05-27,SD,True,0.20257411812627546,0.20257411812627546
2025-06-10,M,True,0.14790689643405613,0.14790689643405613
2025-06-10,L,True,0.059138402767466125,0.059138402767466125
2025-06-10,C,True,0.11888167492667007,0.11888167492667007
2025-06-10,KD,True,0.11371449004889045,0.11371449004889045
2025-06-10,S,True,0.22238359346034042,0.22238359346034042
2025-06-10,V,True,0.070731335933575,0.070731335933575
2025-06-10,MP,True,0.1864235748932926,0.1864235748932926
2025-06-10,SD,True,0.4622955881019478,0.4622955881019478
2025-06-24,M,True,0.18117129742639082,0.18117129742639082
2025-06-24,L,True,0.060995999786687155,0.060995999786687155
2025-06-24,C,True,0.12808464736223463,0.12808464736223463
2025-06-24,KD,True,0.04751931214532726,0.04751931214532726
2025-06-24,S,True,0.18034452798786044,0.18034452798786044
2025-06-24,V,True,0.07018247949858664,0.07018247949858664
2025-06-24,MP,True,0.05804256304917396,0.05804256304917396
2025-06-24,SD,True,0.36787078442042126,0.36787078442042126
2025-07-08,M,True,0.1453151303212361,0.1453151303212361
2025-07-08,L,True,0.029557103872498755,0.029557103872498755
2025-07-08,C,True,0.06735894326974637,0.06735894326974637
2025-07-08,KD,True,0.12160790385019082,0.12160790385019082
2025-07-08,S,True,0.1615379898848675,0.1615379898848675
2025-07-08,V,True,0.06879901941467292,0.06879901941467292
2025-07-08,MP,True,0.11940041252453215,0.11940041252453215
2025-07-08,SD,True,0.2650642353135056,0.2650642353135056
2025-07-22,M,True,0.165755796995048,0.165755796995048
2025-07-22,L,True,0.12883797898009872,0.12883797898009872
2025-07-22,C,True,0.1235260862735369,0.1235260862735369
2025-07-22,KD,True,0.04611795223613363,0.04611795223613363
2025-07-22,S,True,0.1690106754853291,0.1690106754853291
2025-07-22,V,True,0.06989000537711351,0.06989000537711351
2025-07-22,MP,True,0.07179493043514829,0.07179493043514829
2025-07-22,SD,True,0.30609691844750486,0.30609691844750486
2025-08-05,M,True,0.12023342963381956,0.12023342963381956
